K	Adj_Rand	VI	NMI	Split_Join
K=5	0.7763	0.6755	0.8176	334
K=6	0.8116	0.5372	0.8586	285
K=7	0.6788	0.8988	0.7663	469
K=8	0.7978	0.5539	0.8616	324
K=9	0.9176	0.3514	0.9142	165
K=10	0.8274	0.5346	0.8722	307
K=11	0.6879	0.7514	0.8287	422
K=12	0.9020	0.2997	0.9311	195
K=13	0.8412	0.5019	0.8847	236
K=14	0.7500	0.4740	0.8965	285
K=15	0.6863	0.6883	0.8463	377
K=16	0.6606	0.7355	0.8426	376
K=17	0.5809	0.8776	0.8168	464
K=18	0.6226	0.7401	0.8438	455
K=19	0.5020	0.9315	0.8110	559
K=20	0.5730	0.7786	0.8409	474
K=21	0.5346	0.9733	0.7994	573
K=22	0.4578	1.0478	0.7924	624
K=23	0.4758	1.0767	0.7871	586
