NCluster 	Adjusted_Rand 	Adjusted_NMI 	F-Measure  	V-Measure
6 	0.108 	0.182 	0.263 	0.213
7 	0.098 	0.179 	0.245 	0.203
8 	0.069 	0.157 	0.213 	0.175
9 	0.156 	0.230 	0.275 	0.243
10 	0.144 	0.225 	0.256 	0.244
11 	0.188 	0.232 	0.298 	0.253
12 	0.155 	0.250 	0.264 	0.278
13 	0.160 	0.250 	0.265 	0.283
14 	0.078 	0.153 	0.182 	0.187
15 	0.121 	0.213 	0.218 	0.253
16 	0.151 	0.242 	0.235 	0.292
17 	0.092 	0.194 	0.185 	0.240
18 	0.161 	0.228 	0.263 	0.274
19 	0.156 	0.199 	0.255 	0.247
20 	0.093 	0.174 	0.177 	0.228
21 	0.097 	0.199 	0.179 	0.257
22 	0.124 	0.236 	0.201 	0.302
23 	0.162 	0.232 	0.240 	0.299
24 	0.118 	0.204 	0.189 	0.273
25 	0.099 	0.203 	0.171 	0.272
26 	0.117 	0.204 	0.187 	0.275
27 	0.138 	0.222 	0.213 	0.296
28 	0.113 	0.206 	0.183 	0.281
29 	0.128 	0.240 	0.192 	0.322
30 	0.107 	0.198 	0.177 	0.275
31 	0.136 	0.234 	0.203 	0.320
32 	0.087 	0.198 	0.168 	0.276
33 	0.208 	0.271 	0.271 	0.365
34 	0.097 	0.205 	0.159 	0.291
35 	0.121 	0.222 	0.186 	0.312
36 	0.082 	0.198 	0.136 	0.289
37 	0.104 	0.189 	0.165 	0.280
38 	0.123 	0.230 	0.181 	0.328
39 	0.077 	0.186 	0.137 	0.277
