NCluster 	Adjusted_Rand 	Adjusted_NMI 	F-Measure  	V-Measure
25 	0.478 	0.645 	0.553 	0.694
26 	0.482 	0.648 	0.555 	0.703
27 	0.458 	0.635 	0.533 	0.696
28 	0.457 	0.633 	0.533 	0.695
29 	0.457 	0.632 	0.533 	0.695
30 	0.456 	0.628 	0.532 	0.693
31 	0.451 	0.621 	0.527 	0.690
32 	0.449 	0.616 	0.525 	0.687
33 	0.347 	0.584 	0.431 	0.669
34 	0.350 	0.582 	0.432 	0.669
35 	0.337 	0.571 	0.420 	0.663
36 	0.339 	0.569 	0.421 	0.664
37 	0.339 	0.568 	0.421 	0.663
38 	0.339 	0.567 	0.421 	0.663
39 	0.334 	0.560 	0.417 	0.660
40 	0.334 	0.559 	0.416 	0.659
41 	0.334 	0.558 	0.416 	0.659
42 	0.379 	0.576 	0.447 	0.690
43 	0.379 	0.575 	0.447 	0.689
44 	0.379 	0.574 	0.447 	0.689
45 	0.375 	0.569 	0.444 	0.686
46 	0.375 	0.568 	0.444 	0.686
47 	0.340 	0.555 	0.409 	0.677
48 	0.319 	0.544 	0.389 	0.670
49 	0.316 	0.542 	0.386 	0.669
