NCluster 	Adjusted_Rand 	Adjusted_NMI 	F-Measure  	V-Measure
6 	0.257 	0.407 	0.427 	0.562
7 	0.258 	0.413 	0.428 	0.569
8 	0.303 	0.452 	0.452 	0.571
9 	0.338 	0.501 	0.472 	0.597
10 	0.335 	0.500 	0.469 	0.595
11 	0.337 	0.501 	0.470 	0.595
12 	0.338 	0.506 	0.471 	0.599
13 	0.436 	0.596 	0.536 	0.653
14 	0.433 	0.596 	0.533 	0.652
15 	0.433 	0.595 	0.533 	0.651
16 	0.432 	0.596 	0.533 	0.652
17 	0.369 	0.595 	0.478 	0.636
18 	0.379 	0.627 	0.485 	0.659
19 	0.387 	0.636 	0.490 	0.662
